Key	Type	Desc	English	German	French (France)	Portuguese (Brazil)	Italian (Italy)	Japanese	Korean	Russian	Spanish	Ukrainian	Chinese (Simplified)	Chinese (Traditional)	Thai
FoodAdjectives/BloatOatRareFemale	Text		Stodgy	Nährende	indigeste	Indigesta	indigesta	お腹がふくれる	더부룩한	Наваристая	Pesada	Густа	不易消化的	不易消化的	อยู่ท้อง
FoodAdjectives/BloatOatRareMale	Text		Stodgy	Nährender	indigeste	Indigesto	indigesto	お腹がふくれる	더부룩한	Наваристый	Pesado	Густий	不易消化的	不易消化的	อยู่ท้อง
FoodAdjectives/BlueCaveGuppy	Text		Blue	Blaues	bleu	Azul	blu	青色の	파랑	Синее	Azul	Блакитне	蓝色的	藍色	สีน้ำเงิน
FoodAdjectives/BlueCaveGuppyFemale	Text		Blue	Blaue	bleue	Azul	blu	青色の	파랑	Синяя	Azul	Блакитна	蓝色的	藍色	สีน้ำเงิน
FoodAdjectives/BlueCaveGuppyMale	Text		Blue	Blauer	bleu	Azul	blu	青色の	파랑	Синий	Azul	Блакитний	蓝色的	藍色	สีน้ำเงิน
FoodAdjectives/BombPepper	Text		Spicy	Würziges	piquant	Apimentado	piccante	スパイシーな	매콤한	Острое	Picante	Гостре	辛辣的	辛辣	รสเผ็ด
FoodAdjectives/BombPepperFemale	Text		Spicy	Würzige	piquante	Apimentada	piccante	スパイシーな	매콤한	Острая	Picante	Гостра	辛辣的	辛辣	รสเผ็ด
FoodAdjectives/BombPepperMale	Text		Spicy	Würziger	piquant	Apimentado	piccante	スパイシーな	매콤한	Острый	Picante	Гострий	辛辣的	辛辣	รสเผ็ด
FoodAdjectives/BombPepperRare	Text		Piquant	Pikantes	relevé	Picante	speziato	ピリ辛	톡 쏘는	Пикантное	Sazonado	Пікантне	超辣的	超辣	เผ็ด
FoodAdjectives/BombPepperRareFemale	Text		Piquant	Pikante	relevée	Picante	speziata	ピリ辛	톡 쏘는	Пикантная	Sazonada	Пікантна	超辣的	超辣	เผ็ด
FoodAdjectives/BombPepperRareMale	Text		Piquant	Pikanter	relevé	Picante	speziato	ピリ辛	톡 쏘는	Пикантный	Sazonado	Пікантний	超辣的	超辣	เผ็ด
FoodAdjectives/BottomTracer	Text		Bright Yellow	Hellgelbes	jaune vif	Amarelejante	giallo acceso	山吹色の	샛노랑	Ярко-желтое	Amarillo brillante	Яскраво-жовте	亮黄色	亮黃	เหลืองสว่าง
FoodAdjectives/BottomTracerFemale	Text		Bright Yellow	Hellgelbe	jaune vif	Amarelejante	giallo acceso	山吹色の	샛노랑	Ярко-желтая	Amarillo brillante	Яскраво-жовта	亮黄色	亮黃	เหลืองสว่าง
FoodAdjectives/BottomTracerMale	Text		Bright Yellow	Hellgelber	jaune vif	Amarelejante	giallo acceso	山吹色の	샛노랑	Ярко-желтый	Amarillo brillante	Яскраво-жовтий	亮黄色	亮黃	เหลืองสว่าง
FoodAdjectives/BrightLavaEater	Text		Bright	Helles	vif	Brilhoso	luminoso	輝く	밝은	Яркое	Brillante	Яскраве	亮色的	亮色	สว่าง
FoodAdjectives/BrightLavaEaterFemale	Text		Bright	Helle	vive	Brilhosa	luminosa	輝く	밝은	Яркая	Brillante	Яскрава	亮色的	亮色	สว่าง
FoodAdjectives/BrightLavaEaterMale	Text		Bright	Heller	vif	Brilhoso	luminoso	輝く	밝은	Яркий	Brillante	Яскравий	亮色的	亮色	สว่าง
FoodAdjectives/BrownDuneTail	Text		Brown	Braunes	brun	Marrom	marrone	茶色の	갈색	Коричневое	Marrón	Коричневе	褐色的	棕色	สีน้ำตาล
FoodAdjectives/BrownDuneTailFemale	Text		Brown	Braune	brune	Marrom	marrone	茶色の	갈색	Коричневая	Marrón	Коричнева	褐色的	棕色	สีน้ำตาล
FoodAdjectives/BrownDuneTailMale	Text		Brown	Brauner	brun	Marrom	marrone	茶色の	갈색	Коричневый	Marrón	Коричневий	褐色的	棕色	สีน้ำตาล
FoodAdjectives/Carrock	Text		Crunchy	Knuspriges	croustillant	Crocante	croccante	カリカリの	바삭한	Хрустящее	Crujiente	Хрустке	脆口的	鬆脆	กรุบกรอบ
FoodAdjectives/CarrockFemale	Text		Crunchy	Knusprige	croustillante	Crocante	croccante	カリカリの	바삭한	Хрустящая	Crujiente	Хрустка	脆口的	鬆脆	กรุบกรอบ
FoodAdjectives/CarrockMale	Text		Crunchy	Knuspriger	croustillant	Crocante	croccante	カリカリの	바삭한	Хрустящий	Crujiente	Хрусткий	脆口的	鬆脆	กรุบกรอบ
FoodAdjectives/CarrockRare	Text		Hard	Hartes	dur	Duro	rigido	カチコチの	딱딱한	Твердое	Difícil	Тверде	坚硬的	堅硬	แข็ง
FoodAdjectives/CarrockRareFemale	Text		Hard	Harte	dure	Dura	rigida	カチコチの	딱딱한	Твердая	Difícil	Тверда	坚硬的	堅硬	แข็ง
FoodAdjectives/CarrockRareMale	Text		Hard	Harter	dur	Duro	rigido	カチコチの	딱딱한	Твердый	Difícil	Твердий	坚硬的	堅硬	แข็ง
FoodAdjectives/CosmicForm	Text		Cosmic	Kosmisches	cosmique	Cósmico	cosmico	宇宙の	우주의	Космическое	Cósmico	Космічне	宇宙的	宇宙	ห้วงอวกาศ
FoodAdjectives/CosmicFormFemale	Text		Cosmic	Kosmische	cosmique	Cósmica	cosmica	宇宙の	우주의	Космическая	Cósmica	Космічна	宇宙的	宇宙	ห้วงอวกาศ
FoodAdjectives/CosmicFormMale	Text		Cosmic	Kosmischer	cosmique	Cósmico	cosmico	宇宙の	우주의	Космический	Cósmico	Космічний	宇宙的	宇宙	ห้วงอวกาศ
FoodAdjectives/CrownSquid	Text		Crowned	Gekröntes	couronné	Coroado	coronato	ド派手な	대왕	Коронное	Coronado	Коронне	戴着王冠的	戴上皇冠的	ติดมงกุฎ
FoodAdjectives/CrownSquidFemale	Text		Crowned	Gekrönte	couronnée	Coroada	coronata	ド派手な	대왕	Коронная	Coronada	Коронна	戴着王冠的	戴上皇冠的	ติดมงกุฎ
FoodAdjectives/CrownSquidMale	Text		Crowned	Gekrönter	couronné	Coroado	coronato	ド派手な	대왕	Коронный	Coronado	Коронний	戴着王冠的	戴上皇冠的	ติดมงกุฎ
FoodAdjectives/DaggerFin	Text		Sharp	Scharfes	effilé	Afiado	affilato	鋭い	날카로운	Колючее	Afilado	Гостре	锋利的	尖銳	แหลมคม
FoodAdjectives/DaggerFinFemale	Text		Sharp	Scharfe	effilée	Afiada	affilata	鋭い	날카로운	Колючая	Afilada	Гостра	锋利的	尖銳	แหลมคม
FoodAdjectives/DaggerFinMale	Text		Sharp	Scharfer	effilé	Afiado	affilato	鋭い	날카로운	Колючий	Afilado	Гострий	锋利的	尖銳	แหลมคม
FoodAdjectives/DarkLavaEater	Text		Dark	Dunkles	sombre	Escuro	scuro	暗黒の	어두운	Темное	Oscuro	Темне	深色的	深色	เข้ม
FoodAdjectives/DarkLavaEaterFemale	Text		Dark	Dunkle	sombre	Escura	scura	暗黒の	어두운	Темная	Oscura	Темна	深色的	深色	เข้ม
FoodAdjectives/DarkLavaEaterMale	Text		Dark	Dunkler	sombre	Escuro	scuro	暗黒の	어두운	Темный	Oscuro	Темний	深色的	深色	เข้ม
FoodAdjectives/Deepstalker	Text		Glistening	Glimmerndes	scintillant	Cintilante	scintillante	玲瓏な	반들거리는	Блестящее	Lustroso	Блискуче	莹润的	晶瑩閃亮	แวววาว
FoodAdjectives/DeepstalkerFemale	Text		Glistening	Glimmernde	scintillante	Cintilante	scintillante	玲瓏な	반들거리는	Блестящая	Lustrosa	Блискуча	莹润的	晶瑩閃亮	แวววาว
FoodAdjectives/DeepstalkerMale	Text		Glistening	Glimmernder	scintillant	Cintilante	scintillante	玲瓏な	반들거리는	Блестящий	Lustroso	Блискучий	莹润的	晶瑩閃亮	แวววาว
FoodAdjectives/DevilWorm	Text		Devilish	Teuflisches	diabolique	Diabólico	diabolico	悪魔の	악마의	Дьявольское	Diabólico	Диявольське	宛如恶魔的	惡魔	ปิศาจ
FoodAdjectives/DevilWormFemale	Text		Devilish	Teuflische	diabolique	Diabólica	diabolica	悪魔の	악마의	Дьявольская	Diabólica	Диявольська	宛如恶魔的	惡魔	ปิศาจ
FoodAdjectives/DevilWormMale	Text		Devilish	Teuflischer	diabolique	Diabólico	diabolico	悪魔の	악마의	Дьявольский	Diabólico	Диявольський	宛如恶魔的	惡魔	ปิศาจ
FoodAdjectives/Egg	Text		Yummy	Leckeres	miam-miam	Gostoso	Gnam	おいしい	맛있는	Вкуснючее	Rico	Смачне	好吃	美味	อร่อย
FoodAdjectives/EggFemale	Text		Yummy	Leckere	miam-miam	Gostosa	Gnam	おいしい	맛있는	Вкуснючая	Rica	Смачна	好吃	美味	อร่อย
FoodAdjectives/EggMale	Text		Yummy	Leckerer	miam-miam	Gostoso	Gnam	おいしい	맛있는	Вкуснючий	Rico	Смачний	好吃	美味	อร่อย
